Pad No.,TaFeSb,VFeSb,NbFeSb,LTC Max,
1,0.00,1,0,8.494092551,
2,0.00,0.9,0.1,,
3,0.00,0.85,0.15,3.29063,
4,0.00,0.8,0.2,,
5,0.00,0.7,0.3,3.00359,
6,0.00,0.6,0.4,3.26061,
7,0.00,0.5,0.5,,
8,0.00,0.4,0.599999999,2.9739,
9,0.00,0.300000001,0.699999999,3.6492,
10,0.00,0.200000001,0.799999999,,
11,0.00,0.100000001,0.899999999,4.82874,
12,0.00,0.15,0.85,4.45016,
13,0.00,0,0.999999999,14,
14,0.10,0.9,0,,
15,0.10,0.8,0.1,,
16,0.10,0.7,0.2,,
17,0.10,0.6,0.3,,
18,0.10,0.5,0.4,,
19,0.10,0.4,0.5,,
20,0.10,0.300000001,0.599999999,,
21,0.10,0.200000001,0.699999999,,
22,0.10,0.100000001,0.799999999,,
23,0.10,0,0.899999999,6.928706728,
24,0.20,0.8,0,,
25,0.20,0.7,0.1,,
26,0.20,0.6,0.2,,
27,0.20,0.5,0.3,,
28,0.20,0.4,0.4,,
29,0.20,0.300000001,0.5,,
30,0.20,0.200000001,0.599999999,,
31,0.20,0.100000001,0.699999999,3.54,
32,0.20,0,0.799999999,3.64714,
33,0.30,0.7,0,,
34,0.30,0.6,0.1,,
35,0.37,0.63,0,,
36,0.30,0.5,0.2,,
37,0.30,0.4,0.3,,
38,0.30,0.300000001,0.4,,
39,0.33,0.33,0.33,,
40,0.30,0.200000001,0.5,,
41,0.30,0.100000001,0.599999999,,
42,0.30,0,0.699999999,5.61046666,
43,0.40,0.6,0,,
44,0.40,0.5,0.1,,
45,0.40,0.4,0.2,,
46,0.40,0.300000001,0.3,,
47,0.40,0.200000001,0.4,,
48,0.40,0.100000001,0.5,,
49,0.40,0,0.599999999,5.389416786,
50,0.50,0.5,0,,
51,0.50,0.4,0.1,,
52,0.50,0.300000001,0.2,,
53,0.50,0.200000001,0.3,,
54,0.50,0.100000001,0.4,,
55,0.50,0,0.5,3.63795,
56,0.60,0.4,0,,
57,0.60,0.300000001,0.1,,
58,0.60,0.200000001,0.2,,
59,0.60,0.100000001,0.3,,
60,0.60,0,0.4,,
61,0.70,0.300000001,0,,
62,0.70,0.200000001,0.1,,
63,0.70,0.100000001,0.2,,
64,0.70,0,0.3,,
65,0.75,0.25,0,1.2333,
66,0.80,0.200000001,0,,
67,0.80,0.100000001,0.1,3.3,
68,0.80,0,0.2,3.33438,
69,0.82,0.17,0,2.4,
70,0.88,0.11,0,2.5,
71,0.90,0.100000001,0,2.55,
72,0.90,0,0.1,,
73,1.00,0,0,8.76,
